URL,Title,Writer,Category,Date,Pathname,ID
https://creation.kr/200/?idx=1824851&bmode=view,01 진짜인 줄 알았지,관리자,궁금해 궁금해 - 청소년,2019. 4. 21,200,1824851
https://creation.kr/200/?idx=1813285&bmode=view,07 화석은 어떻게 만들어졌을까,관리자,궁금해 궁금해 - 청소년,2019. 4. 18,200,1813285
https://creation.kr/200/?idx=1813303&bmode=view,02 노아의 방주 사실일까 1,관리자,궁금해 궁금해 - 청소년,2019. 4. 18,200,1813303
https://creation.kr/200/?idx=1813287&bmode=view,06 뭐 원숭이가 사람의 조상이라구,관리자,궁금해 궁금해 - 청소년,2019. 4. 18,200,1813287
https://creation.kr/200/?idx=1813276&bmode=view,10 정말 UFO안에 외계인이 타고 있을까,관리자,궁금해 궁금해 - 청소년,2019. 4. 18,200,1813276
https://creation.kr/200/?idx=1813300&bmode=view,03 노아의 방주 사실일까 2,관리자,궁금해 궁금해 - 청소년,2019. 4. 18,200,1813300
https://creation.kr/200/?idx=1813292&bmode=view,05 노아의 방주 사실일까 4,관리자,궁금해 궁금해 - 청소년,2019. 4. 18,200,1813292
https://creation.kr/200/?idx=1813282&bmode=view,08 그랜드 캐년의 신비를 찾아라,관리자,궁금해 궁금해 - 청소년,2019. 4. 18,200,1813282
https://creation.kr/200/?idx=1813297&bmode=view,04 노아의 방주 사실일까 3,관리자,궁금해 궁금해 - 청소년,2019. 4. 18,200,1813297
https://creation.kr/200/?idx=1813279&bmode=view,09 가지나방의 비밀,관리자,궁금해 궁금해 - 청소년,2019. 4. 18,200,1813279
https://creation.kr/animals/?idx=1290974&bmode=view,개미는 고등 수학으로 자신의 길을 찾아간다.,미디어위원회,창조설계-동물,2005. 12. 2,animals,1290974
https://creation.kr/animals/?idx=1291162&bmode=view,물 위를 살펴볼 수 있는 상자해파리의 눈 : 4가지 형태의 24개 눈을 가진 해파리가 원시적 생물?,미디어위원회,창조설계-동물,2019. 9. 6,animals,1291162
https://creation.kr/animals/?idx=1291145&bmode=view,개구리 발바닥을 모방하라! : 더러운 곳과 물속에서도 사용할 수 있는 접착 테이프,미디어위원회,창조설계-동물,2013. 7. 10,animals,1291145
https://creation.kr/animals/?idx=1291037&bmode=view,"벌레들이 사람보다 현명할 수 있을까? : 미적분을 계산하고, 초강력 물질을 만드는 벌레들",미디어위원회,창조설계-동물,2008. 8. 2,animals,1291037
https://creation.kr/animals/?idx=4251700&bmode=view,땅을 비옥하게 만드는 두더지,미디어위원회,창조설계-동물,2020. 7. 16,animals,4251700
https://creation.kr/animals/?idx=13733184&bmode=view,놀라운 폭탄먼지벌레,미디어위원회,창조설계-동물,2022. 12. 22,animals,13733184
https://creation.kr/animals/?idx=1291197&bmode=view,전기뱀장어의 놀라운 능력은 진화를 거부한다.,미디어위원회,창조설계-동물,2016. 2. 11,animals,1291197
https://creation.kr/animals/?idx=12276787&bmode=view,박쥐는 어떻게 그러한 날개를 갖게 되었을까?,미디어위원회,창조설계-동물,2022. 7. 13,animals,12276787
